ID,Start time,Completion time,"Provide a ""Description of the Risk""",Select its severity,Select its Probability,Category
63,1/12/23 11:43,1/12/23 11:47,Placing heirlooms out in the open,Minor,Likely,Physical
64,1/12/23 11:49,1/12/23 11:59,"The risk of a network attack that can either disrupt a machine/network system or have your essential data encrypted or stolen. Potentially resulting in the perpetrators demanding large sums of money without any guarantee that by complying with their demands, they will ultimately decrypt, not leak, or not sell that data.",Emergency,Unlikely,Network
65,1/12/23 13:09,1/12/23 13:12,a risk would be if a company has an unsecure network without firewall ,Major,Likely,Network
66,1/12/23 10:16,1/12/23 13:31,Electrical Outage (Within the neighborhood/Excluding businesses),Moderate,Likely,Physical
67,1/12/23 15:28,1/12/23 15:31,One risk is that a hurricane could end up damaging your home,Emergency,Unlikely,Disaster
68,1/12/23 10:16,1/12/23 17:41,"I have a loft bed in my room, so my ""risk"" will be the possibility that I fall off of the side in my sleep.",Major,Unlikely,People
69,1/12/23 18:02,1/12/23 18:04,Empty house for 3 days of the week,Moderate,Frequent,Physical
70,1/12/23 18:46,1/12/23 18:47,A risk for the in class assignment is a house break in and robbery. ,Major,Unlikely,Physical
71,1/12/23 10:16,1/12/23 21:43,using an unsecured home network when working remotely allowing for threat to sensitive information,Emergency,Frequent,Network
72,1/12/23 22:50,1/12/23 22:52,breach of home/business building by intruders,Major,Unlikely,Physical
73,1/12/23 23:35,1/12/23 23:36,Natural disaster ,Emergency,Likely,Disaster
74,1/12/23 23:36,1/12/23 23:39,"Risk of a natural desaster, such as a hurricane.",Emergency,Unlikely,Disaster
75,1/12/23 10:12,1/12/23 10:19,Theft of Digital Data from an Intruder,Major,Probable,Network
